Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,16/09/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Primary completion rate, total (% of relevant age group)",,,,,,,,,,,,"Government expenditure on education, total (% of GDP)",,,,,,,,,,,,"Unemployment, total (% of total labor force) (modeled ILO estimate)",,,,,,,,,,,,"Children out of school, primary, female",,,,,,,,,,,"Children out of school, primary, male",,,,,,,,,,,"Labor force, total",,,,,,,,,,,,Trained teachers in primary education (% of total teachers),,,,,,,,,,
Country Name,Country Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,94.78610229,,,96.57064056,101.1805573,,,,,,,,6.929269791,6.119130135,6.549059868,6.442959785,5.851280212,5.888269901,5.491350174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,99.83444214,99.5008316,,,,,,,,
Africa Eastern and Southern,AFE,,,,,,,,,,,,,4.496590137,4.269299984,4.677365065,4.621734858,4.839839935,4.815085173,4.821875095,4.963089943,4.951634884,4.846844912,4.608170033,,6.867785571,6.748081474,6.562178647,6.445456485,6.4051955,6.490041203,6.610205313,6.714954736,6.731162734,6.914353247,7.563186854,8.111734984,,,,,,,,,,,,,,,,,,,,,,,209816291,215450183,221609386,228600199,235625294,243451167,251079282,259113288,267049230,275388843,276248621,287574262,,,,,,,,,,,
Afghanistan,AFG,,,,,,,80.49504089,84.41494751,85.62532806,84.33058929,,,3.479449987,3.462009907,3.319999933,3.454459906,3.695219994,3.255800009,3.511980057,3.373310089,3.199790001,3.213779926,,,11.35200024,11.0539999,11.3409996,11.19299984,11.1420002,11.12699986,11.15799999,11.18000031,11.15200043,11.21700001,11.71000004,13.28299999,,,,,,,,,,,,,,,,,,,,,,,7065700,7375529,7742558,8136567,8544021,8948053,9314885,9670662,10022144,10382034,9416829,9695409,,,,,,,,,,,
Africa Western and Central,AFW,,,,,,,,,,,,,3.078089952,2.865760088,2.872040033,3.029710054,2.914229989,3.115135074,2.780579209,3.430220842,3.013220072,3.023038268,3.173885345,,4.554662161,4.548376153,4.637602079,4.410215631,4.688088301,4.6267372,5.567016687,6.019505353,6.04109242,6.063362282,6.774913787,6.838998562,,,,,,,,,,,,,,,,,,,,,,,125096969,128261354,128981377,129657235,132820604,136456067,140164301,144074603,148283367,152714790,154413014,159795199,,,,,,,,,,,
Angola,AGO,39.80720901,46.18714905,,,,,,,,,,,3.421319962,3.029999971,3.081910849,4.438949585,3.122917652,3.4868958,2.754936457,2.466878891,2.044701338,1.927457333,2.415200233,,9.430000305,7.360000134,7.347000122,7.366000175,7.372000217,7.392000198,7.412000179,7.407999992,7.421000004,7.421000004,8.333000183,8.529999733,515304,603347,,,,,,,,,,215471,170490,,,,,,,,,,9556361,9898462,10252532,10621492,11004723,11402381,11804734,12223456,12659938,13116712,13415460,13971332,,47.48641968,,,,,,,,,
Albania,ALB,88.83624268,92.98265839,98.67212677,89.53917694,100.9847183,98.86158752,99.88155365,101.9837036,101.5378571,103.3227463,100.7324066,,,3.079999924,2.930000067,3.539299965,3.049999952,3.437969923,3.962090015,3.611730099,,3.916650057,3.099999905,,14.09000015,13.47999954,13.38000011,15.86999989,18.04999924,17.19000053,15.42000008,13.61999989,12.30000019,11.47000027,13.32900047,11.81900024,13152,10446,6331,2626,,,,,,,1473,16575,14461,10140,6487,,,,,,,4748,1246913,1367478,1312423,1216267,1246721,1300316,1345277,1367557,1399364,1421853,1357373,1364592,,,,,,,,,89.92080688,,
Andorra,AND,,,,,,,,,,,,,2.976629972,2.98706007,,2.506160021,3.074209929,3.28034997,3.237070084,3.217089891,3.246720076,3.15060997,,2.880000114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100
Arab World,ARB,84.36582947,85.1756897,87.03526306,85.06060791,85.99526978,84.90283966,84.34924316,84.49780273,85.40995789,86.52622986,87.33290863,,,,,3.976920128,,,4.710000038,4.919927835,,3.427919984,,,9.400911559,10.47667327,10.66312906,10.73539313,10.87222662,10.96590054,10.76111531,10.89637856,10.50233556,10.00615353,11.48732104,11.62553226,3611489,3675857,3573783,3813221,3960807,3965433,3961725,4002040,3901139,3967863,4040552,2778481,2936995,3061381,3299515,3517686,3543997,3605393,3436666,3229944,3341569,3396216,112368462,115087534,118470958,121788457,124020056,126356221,128930502,130003951,131676748,134425264,133947057,137364012,91.27358246,88.74897766,84.03897858,82.5371933,84.89048004,84.47678375,84.11299896,84.76555634,85.27108002,83.89295197,83.366539
United Arab Emirates,ARE,,,93.94155884,95.68698883,99.14914703,103.5202026,,,,111.9388199,104.7111969,,,,,,,,,,,3.86736989,3.879869938,,2.480999947,2.302000046,2.184999943,2.04399991,1.911000013,1.768000007,1.639999986,2.460000038,2.351999998,2.230000019,3.187999964,3.35800004,,,8360,9395,,,,,,,,,,13559,16215,,,,,,,,5861104,6135877,6279857,6329460,6347513,6384978,6457163,6551369,6513809,6598173,6376718,6498745,,,100,100,100,100,100,,,100,100
